id_medicao;data_medicao;id_projeto
166459;2024-11-01;25017
164809;2024-10-25;25017
163537;2024-10-18;25017
162213;2024-10-11;25017
161069;2024-10-04;25017
159407;2024-09-27;25017
158320;2024-09-20;25017
157030;2024-09-13;25017
155696;2024-09-06;25017
154537;2024-08-30;25017
154001;2024-08-28;25017
153299;2024-08-23;25017
152051;2024-08-16;25017
150853;2024-08-09;25017
150211;2024-08-06;25017
148128;2024-07-22;25017
449000;2026-04-17;25018
443818;2026-04-10;25018
441105;2026-04-02;25018
438934;2026-03-27;25018
434686;2026-03-19;25018
433696;2026-03-13;25018
422222;2026-03-06;25018
418468;2026-02-27;25018
415647;2026-02-20;25018
413659;2026-02-13;25018
410600;2026-02-06;25018
409289;2026-01-30;25018
405628;2026-01-23;25018
400332;2026-01-17;25018
397273;2026-01-09;25018
393616;2025-12-19;25018
391350;2025-12-12;25018
389764;2025-12-05;25018
387007;2025-11-28;25018
384387;2025-11-22;25018
382841;2025-11-14;25018
380219;2025-11-08;25018
377975;2025-10-31;25018
375503;2025-10-25;25018
372805;2025-10-17;25018
370654;2025-10-10;25018
368152;2025-10-03;25018
364554;2025-09-26;25018
362220;2025-09-20;25018
359842;2025-09-12;25018
351655;2025-08-29;25018
350501;2025-08-22;25018
348012;2025-08-15;25018
346398;2025-08-08;25018
344018;2025-08-01;25018
340364;2025-07-24;25018
338975;2025-07-18;25018
259846;2025-07-11;25018
248221;2025-07-08;25018
244289;2025-06-27;25018
241143;2025-06-18;25018
240016;2025-06-13;25018
238291;2025-06-07;25018
235808;2025-05-30;25018
231255;2025-05-23;25018
224406;2025-05-16;25018
222466;2025-05-09;25018
219489;2025-04-30;25018
217776;2025-04-25;25018
216338;2025-04-17;25018
201125;2025-03-28;25018
196393;2025-03-21;25018
194875;2025-03-17;25018
191895;2025-03-06;25018
189350;2025-02-22;25018
187340;2025-02-14;25018
186159;2025-02-10;25018
184052;2025-02-01;25018
181875;2025-01-24;25018
180399;2025-01-17;25018
178971;2025-01-11;25018
175033;2024-12-13;25018
174061;2024-12-09;25018
171639;2024-11-29;25018
170409;2024-11-23;25018
168594;2024-11-14;25018
168387;2024-11-13;25018
167865;2024-11-09;25018
166758;2024-11-04;25018
164905;2024-10-25;25018
163504;2024-10-18;25018
162327;2024-10-11;25018
161327;2024-10-07;25018
159648;2024-09-27;25018
158370;2024-09-20;25018
156941;2024-09-13;25018
155750;2024-09-06;25018
154667;2024-08-30;25018
153336;2024-08-23;25018
152239;2024-08-16;25018
151104;2024-08-09;25018
150270;2024-08-06;25018
149262;2024-07-26;25018
212671;2025-04-07;25640
201982;2025-03-31;25640
196659;2025-03-24;25640
194807;2025-03-17;25640
191896;2025-03-06;25640
189046;2025-02-21;25640
188033;2025-02-17;25640
186345;2025-02-10;25640
183824;2025-01-31;25640
182324;2025-01-27;25640
180320;2025-01-17;25640
178550;2025-01-10;25640
174916;2024-12-13;25640
173301;2024-12-06;25640
172100;2024-11-29;25640
170262;2024-11-22;25640
169137;2024-11-18;25640
167551;2024-11-08;25640
166405;2024-11-01;25640
164902;2024-10-25;25640
163329;2024-10-18;25640
162198;2024-10-11;25640
160785;2024-10-04;25640
156512;2024-07-01;25640
156508;2024-05-31;25640
446200;2026-04-17;25641
446199;2026-04-10;25641
446198;2026-04-03;25641
446197;2026-03-31;25641
446196;2026-03-27;25641
446194;2026-03-20;25641
446193;2026-03-13;25641
446192;2026-03-06;25641
421901;2026-02-28;25641
421900;2026-02-23;25641
421899;2026-02-16;25641
421898;2026-02-09;25641
416281;2026-02-02;25641
407898;2026-01-31;25641
401808;2026-01-23;25641
400368;2026-01-12;25641
400367;2026-01-05;25641
394130;2025-12-22;25641
391747;2025-12-15;25641
390702;2025-12-09;25641
388386;2025-12-04;25641
387065;2025-11-30;25641
385103;2025-11-24;25641
385102;2025-11-17;25641
385101;2025-11-10;25641
385100;2025-10-31;25641
373403;2025-10-20;25641
371247;2025-10-13;25641
368879;2025-10-06;25641
364990;2025-09-29;25641
364544;2025-09-26;25641
361411;2025-09-22;25641
361410;2025-09-15;25641
358500;2025-09-08;25641
354614;2025-09-01;25641
352420;2025-08-25;25641
350480;2025-08-18;25641
347886;2025-08-11;25641
345267;2025-08-04;25641
341263;2025-07-28;25641
340495;2025-07-24;25641
340490;2025-07-21;25641
287900;2025-07-14;25641
247397;2025-07-07;25641
245932;2025-07-02;25641
243360;2025-06-23;25641
241006;2025-06-17;25641
239142;2025-06-11;25641
238345;2025-06-09;25641
236413;2025-06-02;25641
222672;2025-05-12;25641
220546;2025-05-05;25641
218615;2025-04-28;25641
216499;2025-04-21;25641
203838;2025-04-07;25641
202151;2025-03-31;25641
192084;2025-02-28;25641
189824;2025-02-24;25641
188314;2025-02-17;25641
186437;2025-02-10;25641
184513;2025-02-03;25641
182571;2025-01-27;25641
180875;2025-01-20;25641
179007;2025-01-13;25641
176322;2024-12-16;25641
174114;2024-12-09;25641
172411;2024-12-02;25641
170731;2024-11-25;25641
169236;2024-11-18;25641
168042;2024-11-11;25641
166740;2024-11-04;25641
165301;2024-10-28;25641
163767;2024-10-21;25641
162093;2024-10-11;25641
449870;2026-04-24;25644
