id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;color;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;idp;name;name_x;name_y;position;realized;service_id;total_cost
15615;;;;;;#FF6C0F;;;;;;;;PROTEÇÃO MECÂNICA;;;3;;3187757;
15615;;;;;;#038723;;;;;;;;RESVISÃO CERAMICA;;;4;;3187756;
15615;;;;;;#000000;;;;;;;;EST - ESTRUTURA;;;5;;1716569;
15615;;;;;;#017E9E;;;;;;;;LIMPEZA FINA;;;5;;3187755;
15615;;;;;;#7A4E2D;;;;;;;;PONTO DE ANCORAGEM;;;6;;3187754;
15615;;;;;;#3D3D3D;;;;;;;;ESQ - ELEVADOR;;;7;;3187753;
15615;;;;;;#0673BA;;;;;;;;CHECKLIST;;;8;;3187752;
15615;;;;;;#2C65FB;;;;;;;;FIXAÇÃO EXTINTORES E PLACAS DE SINALIZAÇÃO;;;9;;3187751;
15615;;;;;;#574467;;;;;;;;RETOQUES DE PINTURA;;;10;;3187750;
15615;;;;;;#910291;;;;;;;;REVISÃO ACABAMENTOS ELÉTRICOS, QUADROS E LUMINÁRIAS;;;11;;3187748;
15615;;;;;;#4A796F;;;;;;;;SPDA;;;12;;3187747;
15615;0.0;0.0;42.0;2023-04-12;2023-03-01;#3D3D3D;0.0;0.0;0.0;42.0;2023-04-12;2023-03-01;0.0;MOB - MOBILIZAÇÃO;MOB - MOBILIZAÇÃO;MOB - MOBILIZAÇÃO;13;0.0;1716036;0.0
15615;0.0;0.0;85.0;2023-04-27;2023-02-01;#9D673F;0.0;0.0;1.0;85.0;2023-04-27;2023-02-01;0.0;MOB - MOVIMENTO DE TERRA;MOB - MOVIMENTO DE TERRA;MOB - MOVIMENTO DE TERRA;14;1.0;1716038;2485621.2
15615;1.0;585942.3785831474;88.0;2023-10-06;2023-07-10;#E85F08;0.0;0.0;1.0;88.0;2023-10-06;2023-07-10;1.0;FUN- FUNDAÇÃO RASA;FUN- FUNDAÇÃO RASA;FUN- FUNDAÇÃO RASA;15;1.0;1609257;3448467.8602758753
15615;0.0;0.0;122.0;2023-12-07;2023-08-07;#E70302;0.0;0.0;1.0;122.0;2023-12-07;2023-08-07;0.0;EST - PISO DO TÉRREO;EST - PISO DO TÉRREO;EST - PISO DO TÉRREO;16;1.0;1716331;569586.33
15615;0.0;0.0;410.0;2024-10-15;2023-09-01;#03A12A;-102.0;112.0;1.0;298.0;2024-07-05;2023-09-11;0.0;EST-ESTRUTURA;EST-ESTRUTURA;EST-ESTRUTURA;17;1.0;1609275;11939713.860000007
15615;0.0;0.0;419.0;2024-12-05;2023-10-13;#01263F;-220.0;321.0;0.0;98.0;2024-04-29;2024-01-22;0.0;ESQ-IMPERMEABILIZAÇÃO DE VÃO;ESQ-IMPERMEABILIZAÇÃO DE VÃO;ESQ-IMPERMEABILIZAÇÃO DE VÃO;18;0.0;1624653;0.0
15615;0.0;0.0;419.0;2024-12-05;2023-10-13;#0A4C77;-41.0;142.0;1.0;277.0;2024-10-25;2024-01-22;0.0;ESQ - PINGADEIRA;ESQ - PINGADEIRA;ESQ - PINGADEIRA;19;1.0;1716616;145861.63
15615;0.0;0.0;419.0;2024-12-05;2023-10-13;#2A5FEC;13.0;109.0;1.0;310.0;2024-12-18;2024-02-12;0.0;ESQ - ESQUADRIA;ESQ - ESQUADRIA;ESQ - ESQUADRIA;20;1.0;1716620;2437148.8
15615;0.0;0.0;420.0;2024-11-28;2023-10-05;#0673BA;-66.0;81.0;1.0;339.0;2024-09-23;2023-10-20;0.0;HID - PRUMADA HIDRÁULICA;HID - PRUMADA HIDRÁULICA;HID - PRUMADA HIDRÁULICA;21;1.0;1717022;496714.3625000005
15615;0.0;0.0;419.0;2024-12-12;2023-10-20;#CD11CD;-120.0;127.0;1.0;292.0;2024-08-14;2023-10-27;0.0;CON-CONTRA PISO;CON-CONTRA PISO;CON-CONTRA PISO;22;1.0;1624649;755152.3599999996
15615;0.0;0.0;419.0;2024-12-19;2023-10-27;#E66503;-92.0;137.0;1.0;282.0;2024-09-18;2023-12-11;0.0;ACB -MASSA REGULARIZADORA;ACB -MASSA REGULARIZADORA;ACB -MASSA REGULARIZADORA;23;1.0;1717025;2817599.9199999976
