id_projeto;id_pavimento;nome_pavimento;id_atividade;servico_atividade;unidade_nome;unidade_tipo;unidade_quantidade_max;id_servico;nome_servico;unidade_servico_nome;unidade_servico_tipo;unidade_servico_quantidade_max
15257;616354;QD 41 Casa Existente - Mód II;17317128;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15461330;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15465288;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15481815;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15481871;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15486829;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489702;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489724;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489746;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489791;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489813;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;15489836;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;16293441;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;16327763;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;17316653;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;17316777;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;17316914;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
15257;616347;QD 39 Casa Existente - Mód II;17317129;COB - COBERTURA;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15461328;REV/PAV - REVESTIMENTO e PAVIMENTAÇÃO;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15465286;ESQ/POR - ESQUADRIAS E PORTAS;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15481813;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15481869;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15486827;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489700;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489722;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489744;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489789;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489811;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;15489834;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;16293439;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;16327761;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;17316656;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;17316780;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616345;QD 37 Casa Existente - Mód II;17316917;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
